"Story","Title","Result","Date","Stability","Duration (s)"
"Adicionar ao carrinho camisa seleção brasileira","Adicionar ao carrinho camisa seleção brasileira","SUCCESS","2018-02-16T14:10:08.348-02:00","0.0","55.88"
"Adicionar qualquer item ao carrinho e calcular frete até o CEP da RSI Matriz","Adicionar qualquer item ao carrinho e calcular frete até o CEP da RSI Matriz","FAILURE","2018-02-16T14:12:25.105-02:00","0.0","81.92"
"Adicionar qualquer item no carrinho, Limpar Carrinho e voltar para loja","Adicionar qualquer item no carrinho, Limpar Carrinho e voltar para loja","SUCCESS","2018-02-16T14:07:03.605-02:00","0.0","65.65"
"Adicionar tênis ao carrinho (qualquer um)","Adicionar tênis ao carrinho","SUCCESS","2018-02-16T14:08:58.866-02:00","0.0","66.56"
"Buscar Endereço (por CEP)","Buscar usando CEP","SUCCESS","2018-02-16T11:39:14.436-02:00","0.0","29.74"
"Comprar ingresso Thermas dos Laranjais","Comprar ingresso Thermas dos Laranjais","SUCCESS","2018-02-08T13:08:12.359-02:00","0.0","50.31"
"Consultar se há promoção no trajeto Angra dos Reis-Rio de Janeiro","Consultar se há promoção no trajeto Angra dos Reis-Rio de Janeiro","SUCCESS","2018-02-08T13:48:02.507-02:00","0.0","64.62"
"Consultar vôo economico de São Paulo para Bahia","Consultar vôo economico de São Paulo para Bahia","SUCCESS","2018-02-08T13:04:23.222-02:00","0.0","35.86"
"Escolher um calçado na seção outlet com valor abaixo de R$150,00","Escolher um calçado na seção outlet com valor abaixo de R$150,00","SUCCESS","2018-02-16T14:11:05.422-02:00","0.0","77.66"
"Reservar diária hotel 5 estrelas São Paulo","Reservar diária hotel 5 estrelas São Paulo","SUCCESS","2018-02-16T10:27:12.302-02:00","0.0","113.84"
"Selecionar hotel 5 estrelas Rio de Janeiro","Selecionar hotel 5 estrelas Rio de Janeiro","SUCCESS","2018-02-08T13:03:13.232-02:00","0.0","63.72"
